Time,Boat.CrewXPos,Boat.Heel,Boat.Helm,Boat.Leeway,Boat.MassAftBallast,Boat.MassFwdBallast,Boat.MassSideBallast,Boat.RudderDelta,Boat.Speed_kts,Boat.TWA,Boat.TWS_kts,Boat.Trim,Boat.VMG_kts,Boat.Aero.Power,Boat.Aero.Travel,Boat.Keel.KeelCant,Boat.Port.FoilExtPct,Boat.Port.FoilRake,Boat.Stbd.FoilExtPct,Boat.Stbd.FoilRake,Boat.Stbd.RudderRake
0.0,10,5.5,0.0389,0.0,0,0,0,0.5,24.8,89.9,21.1,-0.0,0.0336,-0.4,3.2,26,895,1.5,0,0,0
0.05,10,5.5,0.0403,-0.292,0,0,0,0.5,24.7,89.9,21.1,-0.0,0.159,-0.4,3.2,26,895,1.5,0,0,0
0.1,10,5.5,0.0315,-0.527,0,0,0,0.5,24.7,89.9,21.1,0.00669,0.253,-0.4,3.2,26,895,1.5,0,0,0
0.15,10,5.6,0.0326,-0.65,0,0,0,0.5,24.6,89.9,21.1,0.0772,0.306,-0.4,3.2,26,895,1.5,0,0,0
0.2,10,5.7,0.046,-0.646,0,0,0,0.5,24.6,89.9,21.1,0.207,0.315,-0.4,3.2,26,895,1.5,0,0,0
0.25,10,5.8,0.0648,-0.588,0,0,0,0.5,24.5,89.9,21.1,0.366,0.306,-0.4,3.2,26,895,1.5,0,0,0
0.3,10,6.0,0.0904,-0.472,0,0,0,0.5,24.4,89.8,21.1,0.554,0.276,-0.4,3.2,26,895,1.5,0,0,0
0.35,10,6.2,0.117,-0.327,0,0,0,0.5,24.4,89.8,21.1,0.729,0.235,-0.4,3.2,26,895,1.5,0,0,0
0.4,10,6.3,0.14,-0.175,0,0,0,0.5,24.3,89.7,21.1,0.856,0.187,-0.4,3.2,26,895,1.5,0,0,0
0.45,10,6.5,0.16,-0.00703,0,0,0,0.5,24.3,89.7,21.1,0.926,0.13,-0.4,3.2,26,895,1.5,0,0,0
0.5,10,6.6,0.18,0.0923,0,0,0,0.5,24.2,89.7,21.1,0.959,0.101,-0.4,3.2,26,895,1.5,0,0,0
0.55,10,6.8,0.198,0.107,0,0,0,0.5,24.2,89.6,21.1,0.964,0.108,-0.4,3.2,26,895,1.5,0,0,0
0.6,10,6.9,0.216,0.0483,0,0,0,0.5,24.2,89.6,21.1,0.952,0.144,-0.4,3.2,26,895,1.5,0,0,0
0.65,10,7.1,0.233,-0.0542,0,0,0,0.5,24.2,89.6,21.1,0.938,0.199,-0.4,3.2,26,895,1.5,0,0,0
0.7,10,7.2,0.253,-0.106,0,0,0,0.5,24.2,89.6,21.1,0.934,0.233,-0.4,3.2,26,895,1.5,0,0,0
0.75,10,7.4,0.271,-0.129,0,0,0,0.5,24.2,89.5,21.1,0.927,0.255,-0.4,3.2,26,895,1.5,0,0,0
0.8,10,7.5,0.286,-0.175,0,0,0,0.5,24.2,89.5,21.1,0.902,0.283,-0.4,3.2,26,895,1.5,0,0,0
0.85,10,7.7,0.298,-0.273,0,0,0,0.5,24.3,89.5,21.1,0.847,0.331,-0.4,3.2,26,895,1.5,0,0,0
0.9,10,7.9,0.31,-0.452,0,0,0,0.5,24.3,89.5,21.1,0.748,0.414,-0.4,3.2,26,895,1.5,0,0,0
0.95,10,8.0,0.331,-0.709,0,0,0,0.5,24.4,89.4,21.1,0.62,0.539,-0.4,3.2,26,895,1.5,0,0,0
1.0,10,8.1,0.374,-0.965,0,0,0,0.5,24.4,89.4,21.1,0.498,0.681,-0.4,3.2,26,895,1.5,0,0,0
1.05,10,8.1,0.438,-1.12,0,0,0,0.5,24.4,89.2,21.1,0.396,0.797,-0.4,3.2,26,895,1.5,0,0,0
1.1,10,8.1,0.518,-1.1,0,0,0,0.5,24.4,89.1,21.1,0.306,0.847,-0.4,3.2,26,895,1.5,0,0,0
1.15,10,8.2,0.604,-0.942,0,0,0,0.5,24.3,88.9,21.1,0.198,0.847,-0.4,3.2,26,895,1.5,0,0,0
1.2,10,8.3,0.691,-0.704,0,0,0,0.5,24.3,88.8,21.1,0.0627,0.809,-0.4,3.2,26,895,1.5,0,0,0
1.25,10,8.4,0.774,-0.418,0,0,0,0.5,24.3,88.7,21.1,-0.112,0.745,-0.4,3.2,26,895,1.5,0,0,0
1.3,10,8.5,0.841,-0.131,0,0,0,0.5,24.3,88.6,21.1,-0.337,0.669,-0.4,3.2,26,895,1.5,0,0,0
1.35,10,8.7,0.893,0.101,0,0,0,0.5,24.3,88.5,21.1,-0.587,0.602,-0.4,3.2,26,895,1.5,0,0,0
1.4,10,8.8,0.932,0.218,0,0,0,0.5,24.3,88.4,21.1,-0.844,0.573,-0.4,3.2,26,895,1.5,0,0,0
1.45,10,9.0,0.964,0.237,0,0,0,0.5,24.4,88.4,21.1,-1.09,0.58,-0.4,3.2,26,895,1.5,0,0,0
1.5,10,9.1,0.99,0.145,0,0,0,0.5,24.4,88.4,21.1,-1.33,0.627,-0.4,3.2,26,895,1.5,0,0,0
1.55,10,9.2,1.01,-0.0355,0,0,0,0.5,24.5,88.4,21.1,-1.56,0.71,-0.4,3.2,26,895,1.5,0,0,0
1.6,10,9.3,1.03,-0.225,0,0,0,0.5,24.5,88.4,21.1,-1.76,0.797,-0.4,3.2,26,895,1.5,0,0,0
1.65,10,9.4,1.06,-0.307,0,0,0,0.5,24.6,88.3,21.1,-1.94,0.843,-0.4,3.2,26,895,1.5,0,0,0
1.7,10,9.4,1.09,-0.35,0,0,0,0.5,24.6,88.3,21.1,-2.1,0.876,-0.4,3.2,26,895,1.5,0,0,0
1.75,10,9.5,1.13,-0.439,0,0,0,0.5,24.6,88.3,21.1,-2.23,0.938,-0.4,3.2,26,895,1.5,0,0,0
1.8,10,9.4,1.19,-0.467,0,0,0,0.5,24.7,88.2,21.1,-2.28,0.99,-0.4,3.2,26,895,1.5,0,0,0
1.85,10,9.4,1.27,-0.425,0,0,0,0.5,24.7,88.0,21.1,-2.27,1.02,-0.4,3.2,26,895,1.5,0,0,0
1.9,10,9.5,1.35,-0.4,0,0,0,0.5,24.7,87.9,21.1,-2.26,1.06,-0.4,3.2,26,895,1.5,0,0,0
1.95,10,9.6,1.42,-0.454,0,0,0,0.5,24.7,87.8,21.1,-2.23,1.13,-0.4,3.2,26,895,1.5,0,0,0
2.0,10,9.6,1.49,-0.554,0,0,0,0.5,24.7,87.7,21.1,-2.17,1.21,-0.4,3.2,26,895,1.5,0,0,0
2.05,10,9.7,1.56,-0.557,0,0,0,0.5,24.6,87.6,21.1,-2.06,1.25,-0.4,3.2,26,895,1.5,0,0,0
2.1,10,9.9,1.62,-0.584,0,0,0,0.5,24.6,87.6,21.1,-1.94,1.29,-0.4,3.2,26,895,1.5,0,0,0
2.15,10,10.0,1.67,-0.639,0,0,0,0.5,24.6,87.5,21.1,-1.8,1.34,-0.4,3.2,26,895,1.5,0,0,0
2.2,10,10.1,1.71,-0.664,0,0,0,0.5,24.6,87.5,21.1,-1.68,1.36,-0.4,3.2,26,895,1.5,0,0,0
2.25,10,10.2,1.74,-0.748,0,0,0,0.5,24.6,87.5,21.1,-1.59,1.4,-0.4,3.2,26,895,1.5,0,0,0
2.3,10,10.3,1.76,-0.902,0,0,0,0.5,24.6,87.5,21.1,-1.51,1.47,-0.4,3.2,26,895,1.5,0,0,0
2.35,10,10.5,1.79,-1.03,0,0,0,0.5,24.5,87.5,21.1,-1.41,1.52,-0.4,3.2,26,895,1.5,0,0,0
2.4,10,10.6,1.83,-1.01,0,0,0,0.5,24.5,87.4,21.1,-1.28,1.52,-0.4,3.2,26,895,1.5,0,0,0
2.45,10,10.7,1.87,-0.91,0,0,0,0.5,24.4,87.4,21.1,-1.14,1.48,-0.4,3.2,26,895,1.5,0,0,0
2.5,10,10.9,1.9,-0.778,0,0,0,0.5,24.4,87.4,21.1,-0.998,1.43,-0.4,3.2,26,895,1.5,0,0,0
2.55,10,11.0,1.94,-0.636,0,0,0,0.5,24.3,87.4,21.1,-0.84,1.38,-0.4,3.2,26,895,1.5,0,0,0
2.6,10,11.2,1.98,-0.435,0,0,0,0.5,24.2,87.3,21.1,-0.667,1.31,-0.4,3.2,26,895,1.5,0,0,0
2.65,10,11.4,2.02,-0.233,0,0,0,0.5,24.2,87.3,21.1,-0.509,1.22,-0.4,3.2,26,895,1.5,0,0,0
2.7,10,11.6,2.04,-0.0217,0,0,0,0.5,24.1,87.4,21.1,-0.367,1.12,-0.4,3.2,26,895,1.5,0,0,0
2.75,10,11.8,2.04,0.246,0,0,0,0.5,24.1,87.4,21.1,-0.248,0.983,-0.4,3.2,26,895,1.5,0,0,0
2.8,10,12.0,2.01,0.456,0,0,0,0.5,24.0,87.5,21.1,-0.184,0.852,-0.4,3.2,26,895,1.5,0,0,0
2.85,10,12.2,1.97,0.555,0,0,0,0.5,24.0,87.6,21.1,-0.175,0.755,-0.4,3.2,26,895,1.5,0,0,0
2.9,10,12.4,1.93,0.571,0,0,0,0.5,24.0,87.8,21.1,-0.212,0.691,-0.4,3.2,26,895,1.5,0,0,0
2.95,10,12.5,1.89,0.553,0,0,0,0.5,24.0,87.9,21.1,-0.271,0.649,-0.4,3.2,26,895,1.5,0,0,0
3.0,10,12.6,1.86,0.547,0,0,0,0.5,24.0,88.0,21.1,-0.347,0.606,-0.4,3.2,26,895,1.5,0,0,0
3.05,10,12.7,1.83,0.512,0,0,0,0.5,24.0,88.1,21.1,-0.446,0.58,-0.4,3.2,26,895,1.5,0,0,0
3.1,10,12.8,1.8,0.397,0,0,0,0.5,24.0,88.2,21.1,-0.566,0.593,-0.4,3.2,26,895,1.5,0,0,0
3.15,10,13.0,1.79,0.239,0,0,0,0.5,24.0,88.2,21.1,-0.7,0.634,-0.4,3.2,26,895,1.5,0,0,0
3.2,10,13.2,1.8,0.115,0,0,0,0.5,24.0,88.3,21.1,-0.843,0.676,-0.4,3.2,26,895,1.5,0,0,0
