Time,Boat.CrewXPos,Boat.Heel,Boat.Helm,Boat.Leeway,Boat.MassAftBallast,Boat.MassFwdBallast,Boat.MassSideBallast,Boat.RudderDelta,Boat.Speed_kts,Boat.TWA,Boat.TWS_kts,Boat.Trim,Boat.VMG_kts,Boat.Aero.Power,Boat.Aero.Travel,Boat.Keel.KeelCant,Boat.Port.FoilExtPct,Boat.Port.FoilRake,Boat.Stbd.FoilExtPct,Boat.Stbd.FoilRake,Boat.Stbd.RudderRake
0.0,10,5.5,0.0389,0.0,0,0,0,0.5,24.8,89.9,21.1,-0.0,0.0336,-0.4,3.8,28,892,1.5,0,0,0
0.05,10,5.5,0.0402,-0.297,0,0,0,0.5,24.7,89.9,21.1,-0.0,0.162,-0.4,3.8,28,892,1.5,0,0,0
0.1,10,5.5,0.0322,-0.528,0,0,0,0.5,24.7,89.9,21.1,0.013,0.254,-0.4,3.8,28,892,1.5,0,0,0
0.15,10,5.5,0.0322,-0.642,0,0,0,0.5,24.6,89.9,21.1,0.0883,0.303,-0.4,3.8,28,892,1.5,0,0,0
0.2,10,5.6,0.0425,-0.639,0,0,0,0.5,24.5,89.9,21.1,0.218,0.309,-0.4,3.8,28,892,1.5,0,0,0
0.25,10,5.7,0.0573,-0.593,0,0,0,0.5,24.5,89.9,21.1,0.373,0.301,-0.4,3.8,28,892,1.5,0,0,0
0.3,10,5.8,0.0792,-0.493,0,0,0,0.5,24.4,89.8,21.1,0.554,0.276,-0.4,3.8,28,892,1.5,0,0,0
0.35,10,5.9,0.103,-0.363,0,0,0,0.5,24.4,89.8,21.1,0.721,0.238,-0.4,3.8,28,892,1.5,0,0,0
0.4,10,6.0,0.125,-0.226,0,0,0,0.5,24.3,89.8,21.1,0.84,0.196,-0.4,3.8,28,892,1.5,0,0,0
0.45,10,6.1,0.143,-0.0659,0,0,0,0.5,24.3,89.7,21.1,0.901,0.141,-0.4,3.8,28,892,1.5,0,0,0
0.5,10,6.2,0.161,0.0424,0,0,0,0.5,24.2,89.7,21.1,0.921,0.107,-0.4,3.8,28,892,1.5,0,0,0
0.55,10,6.3,0.176,0.0672,0,0,0,0.5,24.2,89.7,21.1,0.906,0.107,-0.4,3.8,28,892,1.5,0,0,0
0.6,10,6.4,0.191,0.0227,0,0,0,0.5,24.2,89.7,21.1,0.87,0.135,-0.4,3.8,28,892,1.5,0,0,0
0.65,10,6.5,0.204,-0.0702,0,0,0,0.5,24.2,89.6,21.1,0.829,0.183,-0.4,3.8,28,892,1.5,0,0,0
0.7,10,6.6,0.22,-0.116,0,0,0,0.5,24.2,89.6,21.1,0.794,0.212,-0.4,3.8,28,892,1.5,0,0,0
0.75,10,6.7,0.235,-0.13,0,0,0,0.5,24.2,89.6,21.1,0.753,0.227,-0.4,3.8,28,892,1.5,0,0,0
0.8,10,6.8,0.246,-0.159,0,0,0,0.5,24.2,89.6,21.1,0.691,0.246,-0.4,3.8,28,892,1.5,0,0,0
0.85,10,6.9,0.254,-0.251,0,0,0,0.5,24.3,89.6,21.1,0.593,0.289,-0.4,3.8,28,892,1.5,0,0,0
0.9,10,7.0,0.264,-0.413,0,0,0,0.5,24.4,89.6,21.1,0.453,0.364,-0.4,3.8,28,892,1.5,0,0,0
0.95,10,7.1,0.284,-0.647,0,0,0,0.5,24.4,89.5,21.1,0.285,0.479,-0.4,3.8,28,892,1.5,0,0,0
1.0,10,7.1,0.323,-0.896,0,0,0,0.5,24.4,89.5,21.1,0.128,0.617,-0.4,3.8,28,892,1.5,0,0,0
1.05,10,7.1,0.385,-1.05,0,0,0,0.5,24.4,89.3,21.1,0.00941,0.731,-0.4,3.8,28,892,1.5,0,0,0
1.1,10,7.1,0.463,-1.05,0,0,0,0.5,24.4,89.2,21.1,-0.081,0.792,-0.4,3.8,28,892,1.5,0,0,0
1.15,10,7.1,0.548,-0.929,0,0,0,0.5,24.4,89.0,21.1,-0.173,0.805,-0.4,3.8,28,892,1.5,0,0,0
1.2,10,7.2,0.636,-0.728,0,0,0,0.5,24.4,88.9,21.1,-0.283,0.784,-0.4,3.8,28,892,1.5,0,0,0
1.25,10,7.2,0.718,-0.476,0,0,0,0.5,24.3,88.7,21.1,-0.421,0.735,-0.4,3.8,28,892,1.5,0,0,0
1.3,10,7.3,0.785,-0.221,0,0,0,0.5,24.4,88.6,21.1,-0.602,0.673,-0.4,3.8,28,892,1.5,0,0,0
1.35,10,7.5,0.836,-0.0184,0,0,0,0.5,24.4,88.6,21.1,-0.806,0.618,-0.4,3.8,28,892,1.5,0,0,0
1.4,10,7.6,0.874,0.0855,0,0,0,0.5,24.4,88.5,21.1,-1.02,0.594,-0.4,3.8,28,892,1.5,0,0,0
1.45,10,7.7,0.905,0.1,0,0,0,0.5,24.4,88.5,21.1,-1.22,0.602,-0.4,3.8,28,892,1.5,0,0,0
1.5,10,7.8,0.929,0.0275,0,0,0,0.5,24.5,88.5,21.1,-1.41,0.641,-0.4,3.8,28,892,1.5,0,0,0
1.55,10,7.8,0.948,-0.104,0,0,0,0.5,24.5,88.5,21.1,-1.59,0.702,-0.4,3.8,28,892,1.5,0,0,0
1.6,10,7.9,0.966,-0.246,0,0,0,0.5,24.5,88.5,21.1,-1.74,0.766,-0.4,3.8,28,892,1.5,0,0,0
1.65,10,7.9,0.985,-0.301,0,0,0,0.5,24.6,88.4,21.1,-1.88,0.795,-0.4,3.8,28,892,1.5,0,0,0
1.7,10,7.9,1.01,-0.319,0,0,0,0.5,24.6,88.4,21.1,-2.0,0.812,-0.4,3.8,28,892,1.5,0,0,0
1.75,10,7.9,1.04,-0.366,0,0,0,0.5,24.7,88.4,21.1,-2.1,0.849,-0.4,3.8,28,892,1.5,0,0,0
1.8,10,7.8,1.09,-0.361,0,0,0,0.5,24.7,88.3,21.1,-2.12,0.878,-0.4,3.8,28,892,1.5,0,0,0
1.85,10,7.8,1.15,-0.324,0,0,0,0.5,24.7,88.2,21.1,-2.11,0.9,-0.4,3.8,28,892,1.5,0,0,0
1.9,10,7.8,1.22,-0.317,0,0,0,0.5,24.7,88.1,21.1,-2.09,0.935,-0.4,3.8,28,892,1.5,0,0,0
1.95,10,7.9,1.27,-0.387,0,0,0,0.5,24.7,88.1,21.1,-2.06,0.999,-0.4,3.8,28,892,1.5,0,0,0
2.0,10,7.9,1.33,-0.497,0,0,0,0.5,24.7,88.0,21.1,-2.0,1.08,-0.4,3.8,28,892,1.5,0,0,0
2.05,10,8.0,1.39,-0.513,0,0,0,0.5,24.6,87.9,21.1,-1.9,1.12,-0.4,3.8,28,892,1.5,0,0,0
2.1,10,8.1,1.44,-0.554,0,0,0,0.5,24.6,87.9,21.1,-1.78,1.16,-0.4,3.8,28,892,1.5,0,0,0
2.15,10,8.2,1.48,-0.608,0,0,0,0.5,24.6,87.8,21.1,-1.66,1.2,-0.4,3.8,28,892,1.5,0,0,0
2.2,10,8.2,1.52,-0.617,0,0,0,0.5,24.6,87.8,21.1,-1.54,1.22,-0.4,3.8,28,892,1.5,0,0,0
2.25,10,8.3,1.54,-0.7,0,0,0,0.5,24.6,87.8,21.1,-1.47,1.25,-0.4,3.8,28,892,1.5,0,0,0
2.3,10,8.4,1.56,-0.846,0,0,0,0.5,24.6,87.8,21.1,-1.41,1.31,-0.4,3.8,28,892,1.5,0,0,0
2.35,10,8.5,1.59,-0.982,0,0,0,0.5,24.6,87.8,21.1,-1.33,1.37,-0.4,3.8,28,892,1.5,0,0,0
2.4,10,8.6,1.62,-0.992,0,0,0,0.5,24.5,87.8,21.1,-1.21,1.38,-0.4,3.8,28,892,1.5,0,0,0
2.45,10,8.7,1.66,-0.926,0,0,0,0.5,24.4,87.7,21.1,-1.08,1.36,-0.4,3.8,28,892,1.5,0,0,0
2.5,10,8.9,1.69,-0.824,0,0,0,0.5,24.4,87.7,21.1,-0.945,1.33,-0.4,3.8,28,892,1.5,0,0,0
2.55,10,9.0,1.74,-0.682,0,0,0,0.5,24.3,87.7,21.1,-0.783,1.28,-0.4,3.8,28,892,1.5,0,0,0
2.6,10,9.2,1.78,-0.477,0,0,0,0.5,24.3,87.6,21.1,-0.602,1.21,-0.4,3.8,28,892,1.5,0,0,0
2.65,10,9.3,1.82,-0.274,0,0,0,0.5,24.2,87.6,21.1,-0.434,1.13,-0.4,3.8,28,892,1.5,0,0,0
2.7,10,9.5,1.83,-0.0529,0,0,0,0.5,24.1,87.6,21.1,-0.284,1.03,-0.4,3.8,28,892,1.5,0,0,0
2.75,10,9.8,1.83,0.211,0,0,0,0.5,24.1,87.7,21.1,-0.164,0.89,-0.4,3.8,28,892,1.5,0,0,0
2.8,10,10.0,1.81,0.419,0,0,0,0.5,24.1,87.8,21.1,-0.104,0.762,-0.4,3.8,28,892,1.5,0,0,0
2.85,10,10.2,1.77,0.53,0,0,0,0.5,24.0,87.9,21.1,-0.101,0.664,-0.4,3.8,28,892,1.5,0,0,0
2.9,10,10.3,1.73,0.564,0,0,0,0.5,24.0,88.0,21.1,-0.148,0.597,-0.4,3.8,28,892,1.5,0,0,0
2.95,10,10.4,1.69,0.554,0,0,0,0.5,24.0,88.1,21.1,-0.222,0.554,-0.4,3.8,28,892,1.5,0,0,0
3.0,10,10.5,1.66,0.534,0,0,0,0.5,24.0,88.2,21.1,-0.319,0.519,-0.4,3.8,28,892,1.5,0,0,0
3.05,10,10.6,1.63,0.465,0,0,0,0.5,24.0,88.3,21.1,-0.438,0.509,-0.4,3.8,28,892,1.5,0,0,0
3.1,10,10.7,1.61,0.331,0,0,0,0.5,24.0,88.4,21.1,-0.574,0.532,-0.4,3.8,28,892,1.5,0,0,0
3.15,10,10.8,1.6,0.168,0,0,0,0.5,24.0,88.4,21.1,-0.723,0.58,-0.4,3.8,28,892,1.5,0,0,0
3.2,10,10.9,1.61,0.0451,0,0,0,0.5,24.0,88.5,21.1,-0.88,0.626,-0.4,3.8,28,892,1.5,0,0,0
3.25,10,11.0,1.63,0.000562,0,0,0,0.5,24.0,88.4,21.1,-1.03,0.651,-0.4,3.8,28,892,1.5,0,0,0
3.3,10,11.1,1.66,0.0241,0,0,0,0.5,24.1,88.4,21.1,-1.18,0.655,-0.4,3.8,28,892,1.5,0,0,0
3.35,10,11.2,1.69,0.0735,0,0,0,0.5,24.2,88.4,21.1,-1.35,0.648,-0.4,3.8,28,892,1.5,0,0,0
