Time,Boat.CrewXPos,Boat.Heel,Boat.Helm,Boat.Leeway,Boat.MassAftBallast,Boat.MassFwdBallast,Boat.MassSideBallast,Boat.RudderDelta,Boat.Speed_kts,Boat.TWA,Boat.TWS_kts,Boat.Trim,Boat.VMG_kts,Boat.Aero.Power,Boat.Aero.Travel,Boat.Keel.KeelCant,Boat.Port.FoilExtPct,Boat.Port.FoilRake,Boat.Stbd.FoilExtPct,Boat.Stbd.FoilRake,Boat.Stbd.RudderRake
0.0,10,5.5,0.0389,0.0,0,0,0,0.5,24.8,89.9,21.1,-0.0,0.0336,-0.4,3,30,809,2.5,0,0,0
0.05,10,5.5,0.0397,-0.433,0,0,0,0.5,24.7,89.9,21.1,-0.0,0.22,-0.4,3,30,809,2.5,0,0,0
0.1,10,5.5,0.0389,-0.739,0,0,0,0.5,24.7,89.9,21.1,0.0179,0.351,-0.4,3,30,809,2.5,0,0,0
0.15,10,5.5,0.0495,-0.89,0,0,0,0.5,24.6,89.9,21.1,0.1,0.424,-0.4,3,30,809,2.5,0,0,0
0.2,10,5.6,0.0708,-0.893,0,0,0,0.5,24.6,89.9,21.1,0.237,0.442,-0.4,3,30,809,2.5,0,0,0
0.25,10,5.7,0.096,-0.832,0,0,0,0.5,24.5,89.8,21.1,0.399,0.436,-0.4,3,30,809,2.5,0,0,0
0.3,10,5.8,0.127,-0.712,0,0,0,0.5,24.4,89.8,21.1,0.584,0.408,-0.4,3,30,809,2.5,0,0,0
0.35,10,5.9,0.159,-0.561,0,0,0,0.5,24.4,89.7,21.1,0.755,0.368,-0.4,3,30,809,2.5,0,0,0
0.4,10,6.0,0.188,-0.403,0,0,0,0.5,24.3,89.6,21.1,0.877,0.322,-0.4,3,30,809,2.5,0,0,0
0.45,10,6.1,0.214,-0.239,0,0,0,0.5,24.3,89.6,21.1,0.941,0.271,-0.4,3,30,809,2.5,0,0,0
0.5,10,6.2,0.238,-0.143,0,0,0,0.5,24.2,89.6,21.1,0.961,0.247,-0.4,3,30,809,2.5,0,0,0
0.55,10,6.3,0.262,-0.123,0,0,0,0.5,24.2,89.5,21.1,0.947,0.254,-0.4,3,30,809,2.5,0,0,0
0.6,10,6.4,0.284,-0.177,0,0,0,0.5,24.2,89.5,21.1,0.91,0.292,-0.4,3,30,809,2.5,0,0,0
0.65,10,6.5,0.306,-0.282,0,0,0,0.5,24.2,89.5,21.1,0.865,0.35,-0.4,3,30,809,2.5,0,0,0
0.7,10,6.7,0.331,-0.347,0,0,0,0.5,24.2,89.4,21.1,0.823,0.394,-0.4,3,30,809,2.5,0,0,0
0.75,10,6.8,0.355,-0.376,0,0,0,0.5,24.2,89.4,21.1,0.771,0.422,-0.4,3,30,809,2.5,0,0,0
0.8,10,6.9,0.377,-0.416,0,0,0,0.5,24.3,89.3,21.1,0.691,0.452,-0.4,3,30,809,2.5,0,0,0
0.85,10,7.0,0.395,-0.551,0,0,0,0.5,24.3,89.3,21.1,0.571,0.521,-0.4,3,30,809,2.5,0,0,0
0.9,10,7.1,0.422,-0.7,0,0,0,0.5,24.4,89.3,21.1,0.427,0.603,-0.4,3,30,809,2.5,0,0,0
0.95,10,7.2,0.459,-0.862,0,0,0,0.5,24.5,89.2,21.1,0.26,0.7,-0.4,3,30,809,2.5,0,0,0
1.0,10,7.3,0.507,-1.07,0,0,0,0.5,24.5,89.1,21.1,0.0835,0.827,-0.4,3,30,809,2.5,0,0,0
1.05,10,7.3,0.575,-1.24,0,0,0,0.5,24.5,89.0,21.1,-0.0715,0.949,-0.4,3,30,809,2.5,0,0,0
1.1,10,7.4,0.66,-1.26,0,0,0,0.5,24.5,88.9,21.1,-0.201,1.02,-0.4,3,30,809,2.5,0,0,0
1.15,10,7.4,0.756,-1.18,0,0,0,0.5,24.5,88.7,21.1,-0.323,1.06,-0.4,3,30,809,2.5,0,0,0
1.2,10,7.5,0.857,-1.01,0,0,0,0.5,24.5,88.5,21.1,-0.451,1.06,-0.4,3,30,809,2.5,0,0,0
1.25,10,7.5,0.953,-0.785,0,0,0,0.5,24.5,88.4,21.1,-0.601,1.03,-0.4,3,30,809,2.5,0,0,0
1.3,10,7.6,1.03,-0.544,0,0,0,0.5,24.5,88.2,21.1,-0.786,0.986,-0.4,3,30,809,2.5,0,0,0
1.35,10,7.7,1.1,-0.334,0,0,0,0.5,24.5,88.1,21.1,-0.994,0.936,-0.4,3,30,809,2.5,0,0,0
1.4,10,7.9,1.15,-0.231,0,0,0,0.5,24.6,88.1,21.1,-1.21,0.921,-0.4,3,30,809,2.5,0,0,0
1.45,10,8.0,1.19,-0.209,0,0,0,0.5,24.6,88.0,21.1,-1.43,0.933,-0.4,3,30,809,2.5,0,0,0
1.5,10,8.1,1.23,-0.293,0,0,0,0.5,24.6,88.0,21.1,-1.64,0.984,-0.4,3,30,809,2.5,0,0,0
1.55,10,8.2,1.26,-0.457,0,0,0,0.5,24.7,88.0,21.1,-1.83,1.07,-0.4,3,30,809,2.5,0,0,0
1.6,10,8.2,1.29,-0.602,0,0,0,0.5,24.7,88.0,21.1,-2.01,1.14,-0.4,3,30,809,2.5,0,0,0
1.65,10,8.2,1.32,-0.642,0,0,0,0.5,24.8,87.9,21.1,-2.17,1.17,-0.4,3,30,809,2.5,0,0,0
1.7,10,8.2,1.36,-0.651,0,0,0,0.5,24.8,87.9,21.1,-2.3,1.2,-0.4,3,30,809,2.5,0,0,0
1.75,10,8.2,1.41,-0.69,0,0,0,0.5,24.9,87.8,21.1,-2.4,1.24,-0.4,3,30,809,2.5,0,0,0
1.8,10,8.2,1.48,-0.691,0,0,0,0.5,24.9,87.7,21.1,-2.43,1.28,-0.4,3,30,809,2.5,0,0,0
1.85,10,8.2,1.55,-0.648,0,0,0,0.5,24.9,87.6,21.1,-2.43,1.3,-0.4,3,30,809,2.5,0,0,0
1.9,10,8.2,1.62,-0.631,0,0,0,0.5,24.9,87.5,21.1,-2.42,1.34,-0.4,3,30,809,2.5,0,0,0
1.95,10,8.2,1.69,-0.692,0,0,0,0.5,24.9,87.5,21.1,-2.4,1.4,-0.4,3,30,809,2.5,0,0,0
2.0,10,8.3,1.76,-0.734,0,0,0,0.5,24.8,87.4,21.1,-2.34,1.46,-0.4,3,30,809,2.5,0,0,0
