Time,Boat.CrewXPos,Boat.Heel,Boat.Helm,Boat.Leeway,Boat.MassAftBallast,Boat.MassFwdBallast,Boat.MassSideBallast,Boat.RudderDelta,Boat.Speed_kts,Boat.TWA,Boat.TWS_kts,Boat.Trim,Boat.VMG_kts,Boat.Aero.Power,Boat.Aero.Travel,Boat.Keel.KeelCant,Boat.Port.FoilExtPct,Boat.Port.FoilRake,Boat.Stbd.FoilExtPct,Boat.Stbd.FoilRake,Boat.Stbd.RudderRake
0.0,10,5.5,0.0389,0.0,0,0,0,0.5,24.8,89.9,21.1,-0.0,0.0336,-0.4,3.5,24,809,0.5,0,0,0
0.05,10,5.5,0.0407,-0.184,0,0,0,0.5,24.7,89.9,21.1,-0.0,0.113,-0.4,3.5,24,809,0.5,0,0,0
0.1,10,5.5,0.0265,-0.355,0,0,0,0.5,24.7,90.0,21.1,-0.00015,0.174,-0.4,3.5,24,809,0.5,0,0,0
0.15,10,5.6,0.02,-0.445,0,0,0,0.5,24.6,90.0,21.1,0.0615,0.207,-0.4,3.5,24,809,0.5,0,0,0
0.2,10,5.8,0.0259,-0.43,0,0,0,0.5,24.6,90.0,21.1,0.184,0.205,-0.4,3.5,24,809,0.5,0,0,0
0.25,10,5.9,0.0381,-0.376,0,0,0,0.5,24.5,89.9,21.1,0.34,0.192,-0.4,3.5,24,809,0.5,0,0,0
0.3,10,6.1,0.0579,-0.263,0,0,0,0.5,24.4,89.9,21.1,0.526,0.16,-0.4,3.5,24,809,0.5,0,0,0
0.35,10,6.3,0.0788,-0.121,0,0,0,0.5,24.4,89.8,21.1,0.701,0.116,-0.4,3.5,24,809,0.5,0,0,0
0.4,10,6.4,0.0954,0.0197,0,0,0,0.5,24.3,89.8,21.1,0.828,0.0681,-0.4,3.5,24,809,0.5,0,0,0
0.45,10,6.6,0.109,0.18,0,0,0,0.5,24.2,89.8,21.1,0.9,0.00981,-0.4,3.5,24,809,0.5,0,0,0
0.5,10,6.8,0.122,0.276,0,0,0,0.5,24.2,89.8,21.1,0.935,-0.0215,-0.4,3.5,24,809,0.5,0,0,0
0.55,10,6.9,0.135,0.272,0,0,0,0.5,24.2,89.8,21.1,0.946,-0.0111,-0.4,3.5,24,809,0.5,0,0,0
0.6,10,7.1,0.148,0.202,0,0,0,0.5,24.2,89.7,21.1,0.942,0.0274,-0.4,3.5,24,809,0.5,0,0,0
0.65,10,7.3,0.161,0.0947,0,0,0,0.5,24.1,89.7,21.1,0.94,0.0819,-0.4,3.5,24,809,0.5,0,0,0
0.7,10,7.5,0.177,0.0583,0,0,0,0.5,24.1,89.7,21.1,0.953,0.108,-0.4,3.5,24,809,0.5,0,0,0
0.75,10,7.6,0.192,0.0571,0,0,0,0.5,24.1,89.7,21.1,0.965,0.118,-0.4,3.5,24,809,0.5,0,0,0
0.8,10,7.8,0.202,0.0327,0,0,0,0.5,24.2,89.6,21.1,0.963,0.134,-0.4,3.5,24,809,0.5,0,0,0
0.85,10,8.0,0.208,-0.0286,0,0,0,0.5,24.2,89.6,21.1,0.935,0.162,-0.4,3.5,24,809,0.5,0,0,0
0.9,10,8.1,0.212,-0.178,0,0,0,0.5,24.3,89.6,21.1,0.865,0.227,-0.4,3.5,24,809,0.5,0,0,0
0.95,10,8.3,0.223,-0.413,0,0,0,0.5,24.3,89.6,21.1,0.767,0.334,-0.4,3.5,24,809,0.5,0,0,0
1.0,10,8.4,0.254,-0.649,0,0,0,0.5,24.3,89.6,21.1,0.671,0.459,-0.4,3.5,24,809,0.5,0,0,0
1.05,10,8.4,0.307,-0.77,0,0,0,0.5,24.3,89.5,21.1,0.592,0.552,-0.4,3.5,24,809,0.5,0,0,0
1.1,10,8.4,0.373,-0.724,0,0,0,0.5,24.3,89.3,21.1,0.516,0.584,-0.4,3.5,24,809,0.5,0,0,0
1.15,10,8.5,0.445,-0.548,0,0,0,0.5,24.2,89.2,21.1,0.412,0.563,-0.4,3.5,24,809,0.5,0,0,0
1.2,10,8.6,0.517,-0.302,0,0,0,0.5,24.2,89.1,21.1,0.271,0.511,-0.4,3.5,24,809,0.5,0,0,0
1.25,10,8.7,0.585,-0.0133,0,0,0,0.5,24.2,89.0,21.1,0.0857,0.438,-0.4,3.5,24,809,0.5,0,0,0
1.3,10,8.8,0.641,0.274,0,0,0,0.5,24.2,88.9,21.1,-0.153,0.354,-0.4,3.5,24,809,0.5,0,0,0
1.35,10,9.0,0.681,0.497,0,0,0,0.5,24.2,88.8,21.1,-0.42,0.284,-0.4,3.5,24,809,0.5,0,0,0
1.4,10,9.2,0.71,0.62,0,0,0,0.5,24.2,88.8,21.1,-0.693,0.246,-0.4,3.5,24,809,0.5,0,0,0
1.45,10,9.4,0.73,0.636,0,0,0,0.5,24.2,88.8,21.1,-0.96,0.247,-0.4,3.5,24,809,0.5,0,0,0
1.5,10,9.6,0.745,0.543,0,0,0,0.5,24.3,88.8,21.1,-1.22,0.289,-0.4,3.5,24,809,0.5,0,0,0
