Time,Boat.CrewXPos,Boat.Heel,Boat.Helm,Boat.Leeway,Boat.MassAftBallast,Boat.MassFwdBallast,Boat.MassSideBallast,Boat.RudderDelta,Boat.Speed_kts,Boat.TWA,Boat.TWS_kts,Boat.Trim,Boat.VMG_kts,Boat.Aero.Power,Boat.Aero.Travel,Boat.Keel.KeelCant,Boat.Port.FoilExtPct,Boat.Port.FoilRake,Boat.Stbd.FoilExtPct,Boat.Stbd.FoilRake,Boat.Stbd.RudderRake
0.0,10,5.5,0.0389,0.0,0,0,0,0.5,24.8,89.9,21.1,-0.0,0.0336,-0.4,4,24,892,2.5,0,0,0
0.05,10,5.5,0.0402,-0.337,0,0,0,0.5,24.7,89.9,21.1,-0.0,0.179,-0.4,4,24,892,2.5,0,0,0
0.1,10,5.5,0.0316,-0.594,0,0,0,0.5,24.7,89.9,21.1,0.0221,0.282,-0.4,4,24,892,2.5,0,0,0
0.15,10,5.5,0.0298,-0.725,0,0,0,0.5,24.6,89.9,21.1,0.107,0.335,-0.4,4,24,892,2.5,0,0,0
0.2,10,5.5,0.037,-0.729,0,0,0,0.5,24.5,89.9,21.1,0.243,0.343,-0.4,4,24,892,2.5,0,0,0
0.25,10,5.5,0.0484,-0.676,0,0,0,0.5,24.5,89.9,21.1,0.4,0.329,-0.4,4,24,892,2.5,0,0,0
0.3,10,5.6,0.0663,-0.571,0,0,0,0.5,24.4,89.9,21.1,0.579,0.297,-0.4,4,24,892,2.5,0,0,0
0.35,10,5.6,0.0865,-0.438,0,0,0,0.5,24.4,89.8,21.1,0.743,0.256,-0.4,4,24,892,2.5,0,0,0
0.4,10,5.7,0.105,-0.3,0,0,0,0.5,24.3,89.8,21.1,0.858,0.211,-0.4,4,24,892,2.5,0,0,0
0.45,10,5.7,0.121,-0.146,0,0,0,0.5,24.3,89.8,21.1,0.914,0.157,-0.4,4,24,892,2.5,0,0,0
0.5,10,5.8,0.136,-0.0468,0,0,0,0.5,24.2,89.7,21.1,0.927,0.126,-0.4,4,24,892,2.5,0,0,0
0.55,10,5.8,0.149,-0.0197,0,0,0,0.5,24.2,89.7,21.1,0.904,0.123,-0.4,4,24,892,2.5,0,0,0
0.6,10,5.8,0.161,-0.0539,0,0,0,0.5,24.2,89.7,21.1,0.857,0.145,-0.4,4,24,892,2.5,0,0,0
0.65,10,5.9,0.17,-0.132,0,0,0,0.5,24.2,89.7,21.1,0.8,0.183,-0.4,4,24,892,2.5,0,0,0
0.7,10,6.0,0.181,-0.176,0,0,0,0.5,24.2,89.7,21.1,0.746,0.208,-0.4,4,24,892,2.5,0,0,0
0.75,10,6.0,0.191,-0.2,0,0,0,0.5,24.2,89.7,21.1,0.682,0.224,-0.4,4,24,892,2.5,0,0,0
0.8,10,6.1,0.198,-0.241,0,0,0,0.5,24.3,89.7,21.1,0.593,0.245,-0.4,4,24,892,2.5,0,0,0
0.85,10,6.1,0.202,-0.36,0,0,0,0.5,24.3,89.7,21.1,0.463,0.297,-0.4,4,24,892,2.5,0,0,0
0.9,10,6.1,0.211,-0.525,0,0,0,0.5,24.4,89.6,21.1,0.294,0.373,-0.4,4,24,892,2.5,0,0,0
0.95,10,6.1,0.231,-0.737,0,0,0,0.5,24.4,89.6,21.1,0.0986,0.479,-0.4,4,24,892,2.5,0,0,0
1.0,10,6.1,0.267,-0.98,0,0,0,0.5,24.5,89.5,21.1,-0.0895,0.613,-0.4,4,24,892,2.5,0,0,0
1.05,10,6.0,0.326,-1.14,0,0,0,0.5,24.5,89.4,21.1,-0.235,0.729,-0.4,4,24,892,2.5,0,0,0
1.1,10,6.0,0.401,-1.15,0,0,0,0.5,24.4,89.3,21.1,-0.342,0.794,-0.4,4,24,892,2.5,0,0,0
1.15,10,6.0,0.486,-1.05,0,0,0,0.5,24.4,89.1,21.1,-0.436,0.814,-0.4,4,24,892,2.5,0,0,0
1.2,10,6.0,0.573,-0.866,0,0,0,0.5,24.4,89.0,21.1,-0.537,0.802,-0.4,4,24,892,2.5,0,0,0
1.25,10,6.0,0.656,-0.638,0,0,0,0.5,24.4,88.8,21.1,-0.656,0.765,-0.4,4,24,892,2.5,0,0,0
1.3,10,6.0,0.724,-0.412,0,0,0,0.5,24.4,88.7,21.1,-0.81,0.716,-0.4,4,24,892,2.5,0,0,0
1.35,10,6.1,0.776,-0.229,0,0,0,0.5,24.4,88.7,21.1,-0.986,0.671,-0.4,4,24,892,2.5,0,0,0
1.4,10,6.2,0.815,-0.137,0,0,0,0.5,24.5,88.6,21.1,-1.17,0.655,-0.4,4,24,892,2.5,0,0,0
1.45,10,6.2,0.847,-0.122,0,0,0,0.5,24.5,88.6,21.1,-1.34,0.664,-0.4,4,24,892,2.5,0,0,0
1.5,10,6.3,0.871,-0.186,0,0,0,0.5,24.5,88.5,21.1,-1.5,0.7,-0.4,4,24,892,2.5,0,0,0
1.55,10,6.3,0.892,-0.31,0,0,0,0.5,24.5,88.5,21.1,-1.65,0.759,-0.4,4,24,892,2.5,0,0,0
1.6,10,6.3,0.909,-0.437,0,0,0,0.5,24.6,88.5,21.1,-1.77,0.816,-0.4,4,24,892,2.5,0,0,0
1.65,10,6.2,0.927,-0.475,0,0,0,0.5,24.6,88.5,21.1,-1.88,0.837,-0.4,4,24,892,2.5,0,0,0
1.7,10,6.2,0.949,-0.48,0,0,0,0.5,24.6,88.5,21.1,-1.96,0.848,-0.4,4,24,892,2.5,0,0,0
1.75,10,6.1,0.98,-0.507,0,0,0,0.5,24.7,88.5,21.1,-2.02,0.874,-0.4,4,24,892,2.5,0,0,0
1.8,10,6.1,1.03,-0.487,0,0,0,0.5,24.7,88.4,21.1,-2.02,0.893,-0.4,4,24,892,2.5,0,0,0
1.85,10,6.0,1.08,-0.435,0,0,0,0.5,24.7,88.3,21.1,-1.99,0.902,-0.4,4,24,892,2.5,0,0,0
1.9,10,6.0,1.13,-0.405,0,0,0,0.5,24.7,88.3,21.1,-1.97,0.921,-0.4,4,24,892,2.5,0,0,0
1.95,10,6.0,1.18,-0.452,0,0,0,0.5,24.7,88.2,21.1,-1.94,0.968,-0.4,4,24,892,2.5,0,0,0
2.0,10,6.0,1.23,-0.539,0,0,0,0.5,24.6,88.1,21.1,-1.88,1.03,-0.4,4,24,892,2.5,0,0,0
2.05,10,6.0,1.28,-0.563,0,0,0,0.5,24.6,88.1,21.1,-1.78,1.06,-0.4,4,24,892,2.5,0,0,0
2.1,10,6.0,1.32,-0.624,0,0,0,0.5,24.6,88.0,21.1,-1.68,1.11,-0.4,4,24,892,2.5,0,0,0
2.15,10,6.1,1.35,-0.692,0,0,0,0.5,24.6,88.0,21.1,-1.56,1.15,-0.4,4,24,892,2.5,0,0,0
