Time,Boat.CrewXPos,Boat.Heel,Boat.Helm,Boat.Leeway,Boat.MassAftBallast,Boat.MassFwdBallast,Boat.MassSideBallast,Boat.RudderDelta,Boat.Speed_kts,Boat.TWA,Boat.TWS_kts,Boat.Trim,Boat.VMG_kts,Boat.Aero.Power,Boat.Aero.Travel,Boat.Keel.KeelCant,Boat.Port.FoilExtPct,Boat.Port.FoilRake,Boat.Stbd.FoilExtPct,Boat.Stbd.FoilRake,Boat.Stbd.RudderRake
0.0,10,5.5,0.0389,0.0,0,0,0,0.5,24.8,89.9,21.1,-0.0,0.0336,-0.4,3.2,28,809,2.5,0,0,0
0.05,10,5.5,0.0398,-0.419,0,0,0,0.5,24.7,89.9,21.1,-0.0,0.214,-0.4,3.2,28,809,2.5,0,0,0
0.1,10,5.5,0.0369,-0.72,0,0,0,0.5,24.7,89.9,21.1,0.018,0.341,-0.4,3.2,28,809,2.5,0,0,0
0.15,10,5.5,0.0447,-0.871,0,0,0,0.5,24.6,89.9,21.1,0.101,0.412,-0.4,3.2,28,809,2.5,0,0,0
0.2,10,5.6,0.0633,-0.875,0,0,0,0.5,24.5,89.9,21.1,0.238,0.428,-0.4,3.2,28,809,2.5,0,0,0
0.25,10,5.7,0.086,-0.814,0,0,0,0.5,24.5,89.8,21.1,0.399,0.42,-0.4,3.2,28,809,2.5,0,0,0
0.3,10,5.7,0.115,-0.694,0,0,0,0.5,24.4,89.8,21.1,0.584,0.39,-0.4,3.2,28,809,2.5,0,0,0
0.35,10,5.9,0.144,-0.545,0,0,0,0.5,24.4,89.7,21.1,0.754,0.349,-0.4,3.2,28,809,2.5,0,0,0
0.4,10,6.0,0.171,-0.39,0,0,0,0.5,24.3,89.7,21.1,0.875,0.303,-0.4,3.2,28,809,2.5,0,0,0
0.45,10,6.0,0.195,-0.228,0,0,0,0.5,24.3,89.6,21.1,0.938,0.251,-0.4,3.2,28,809,2.5,0,0,0
0.5,10,6.1,0.218,-0.135,0,0,0,0.5,24.2,89.6,21.1,0.957,0.227,-0.4,3.2,28,809,2.5,0,0,0
0.55,10,6.2,0.24,-0.118,0,0,0,0.5,24.2,89.6,21.1,0.943,0.235,-0.4,3.2,28,809,2.5,0,0,0
0.6,10,6.3,0.261,-0.174,0,0,0,0.5,24.2,89.5,21.1,0.905,0.272,-0.4,3.2,28,809,2.5,0,0,0
0.65,10,6.5,0.281,-0.278,0,0,0,0.5,24.2,89.5,21.1,0.86,0.329,-0.4,3.2,28,809,2.5,0,0,0
0.7,10,6.6,0.304,-0.339,0,0,0,0.5,24.2,89.5,21.1,0.818,0.37,-0.4,3.2,28,809,2.5,0,0,0
0.75,10,6.7,0.326,-0.369,0,0,0,0.5,24.2,89.4,21.1,0.767,0.397,-0.4,3.2,28,809,2.5,0,0,0
0.8,10,6.8,0.345,-0.413,0,0,0,0.5,24.3,89.4,21.1,0.69,0.428,-0.4,3.2,28,809,2.5,0,0,0
0.85,10,6.9,0.362,-0.541,0,0,0,0.5,24.3,89.4,21.1,0.573,0.493,-0.4,3.2,28,809,2.5,0,0,0
0.9,10,7.0,0.385,-0.696,0,0,0,0.5,24.4,89.3,21.1,0.425,0.575,-0.4,3.2,28,809,2.5,0,0,0
0.95,10,7.0,0.418,-0.88,0,0,0,0.5,24.4,89.3,21.1,0.251,0.678,-0.4,3.2,28,809,2.5,0,0,0
1.0,10,7.1,0.466,-1.1,0,0,0,0.5,24.5,89.2,21.1,0.0748,0.81,-0.4,3.2,28,809,2.5,0,0,0
1.05,10,7.1,0.533,-1.27,0,0,0,0.5,24.5,89.1,21.1,-0.0751,0.933,-0.4,3.2,28,809,2.5,0,0,0
1.1,10,7.1,0.618,-1.28,0,0,0,0.5,24.5,88.9,21.1,-0.196,1.0,-0.4,3.2,28,809,2.5,0,0,0
1.15,10,7.2,0.713,-1.19,0,0,0,0.5,24.5,88.8,21.1,-0.311,1.03,-0.4,3.2,28,809,2.5,0,0,0
1.2,10,7.2,0.811,-1.0,0,0,0,0.5,24.4,88.6,21.1,-0.432,1.03,-0.4,3.2,28,809,2.5,0,0,0
1.25,10,7.2,0.903,-0.763,0,0,0,0.5,24.4,88.4,21.1,-0.575,0.989,-0.4,3.2,28,809,2.5,0,0,0
1.3,10,7.3,0.98,-0.52,0,0,0,0.5,24.4,88.3,21.1,-0.757,0.937,-0.4,3.2,28,809,2.5,0,0,0
1.35,10,7.5,1.04,-0.313,0,0,0,0.5,24.5,88.2,21.1,-0.961,0.887,-0.4,3.2,28,809,2.5,0,0,0
1.4,10,7.6,1.09,-0.212,0,0,0,0.5,24.5,88.2,21.1,-1.17,0.871,-0.4,3.2,28,809,2.5,0,0,0
1.45,10,7.7,1.13,-0.192,0,0,0,0.5,24.6,88.1,21.1,-1.38,0.882,-0.4,3.2,28,809,2.5,0,0,0
1.5,10,7.8,1.16,-0.273,0,0,0,0.5,24.6,88.1,21.1,-1.58,0.93,-0.4,3.2,28,809,2.5,0,0,0
1.55,10,7.8,1.19,-0.431,0,0,0,0.5,24.6,88.1,21.1,-1.77,1.01,-0.4,3.2,28,809,2.5,0,0,0
1.6,10,7.9,1.22,-0.574,0,0,0,0.5,24.7,88.1,21.1,-1.93,1.08,-0.4,3.2,28,809,2.5,0,0,0
1.65,10,7.9,1.25,-0.614,0,0,0,0.5,24.7,88.0,21.1,-2.08,1.11,-0.4,3.2,28,809,2.5,0,0,0
1.7,10,7.9,1.28,-0.62,0,0,0,0.5,24.8,88.0,21.1,-2.21,1.13,-0.4,3.2,28,809,2.5,0,0,0
1.75,10,7.9,1.33,-0.657,0,0,0,0.5,24.8,88.0,21.1,-2.29,1.17,-0.4,3.2,28,809,2.5,0,0,0
1.8,10,7.8,1.39,-0.659,0,0,0,0.5,24.8,87.9,21.1,-2.31,1.2,-0.4,3.2,28,809,2.5,0,0,0
1.85,10,7.8,1.46,-0.62,0,0,0,0.5,24.8,87.8,21.1,-2.3,1.23,-0.4,3.2,28,809,2.5,0,0,0
1.9,10,7.8,1.53,-0.601,0,0,0,0.5,24.8,87.7,21.1,-2.29,1.26,-0.4,3.2,28,809,2.5,0,0,0
1.95,10,7.8,1.59,-0.66,0,0,0,0.5,24.8,87.6,21.1,-2.26,1.32,-0.4,3.2,28,809,2.5,0,0,0
2.0,10,7.9,1.65,-0.711,0,0,0,0.5,24.8,87.5,21.1,-2.2,1.38,-0.4,3.2,28,809,2.5,0,0,0
2.05,10,8.0,1.72,-0.696,0,0,0,0.5,24.8,87.5,21.1,-2.11,1.4,-0.4,3.2,28,809,2.5,0,0,0
2.1,10,8.0,1.76,-0.726,0,0,0,0.5,24.8,87.4,21.1,-2.01,1.43,-0.4,3.2,28,809,2.5,0,0,0
2.15,10,8.1,1.8,-0.808,0,0,0,0.5,24.8,87.4,21.1,-1.91,1.48,-0.4,3.2,28,809,2.5,0,0,0
2.2,10,8.2,1.84,-0.877,0,0,0,0.5,24.8,87.4,21.1,-1.83,1.52,-0.4,3.2,28,809,2.5,0,0,0
2.25,10,8.3,1.87,-0.995,0,0,0,0.5,24.8,87.4,21.1,-1.77,1.57,-0.4,3.2,28,809,2.5,0,0,0
2.3,10,8.3,1.9,-1.16,0,0,0,0.5,24.7,87.4,21.1,-1.72,1.64,-0.4,3.2,28,809,2.5,0,0,0
2.35,10,8.4,1.93,-1.27,0,0,0,0.5,24.7,87.3,21.1,-1.62,1.69,-0.4,3.2,28,809,2.5,0,0,0
2.4,10,8.5,1.98,-1.24,0,0,0,0.5,24.6,87.3,21.1,-1.48,1.69,-0.4,3.2,28,809,2.5,0,0,0
2.45,10,8.6,2.02,-1.11,0,0,0,0.5,24.6,87.3,21.1,-1.33,1.65,-0.4,3.2,28,809,2.5,0,0,0
2.5,10,8.7,2.06,-0.982,0,0,0,0.5,24.5,87.2,21.1,-1.18,1.6,-0.4,3.2,28,809,2.5,0,0,0
