Time,Boat.CrewXPos,Boat.Heel,Boat.Helm,Boat.Leeway,Boat.MassAftBallast,Boat.MassFwdBallast,Boat.MassSideBallast,Boat.RudderDelta,Boat.Speed_kts,Boat.TWA,Boat.TWS_kts,Boat.Trim,Boat.VMG_kts,Boat.Aero.Power,Boat.Aero.Travel,Boat.Keel.KeelCant,Boat.Port.FoilExtPct,Boat.Port.FoilRake,Boat.Stbd.FoilExtPct,Boat.Stbd.FoilRake,Boat.Stbd.RudderRake
0.0,10,5.5,0.0389,0.0,0,0,0,0.5,24.8,89.9,21.1,-0.0,0.0336,-0.4,3.5,30,895,0.5,0,0,0
0.05,10,5.5,0.0403,-0.25,0,0,0,0.5,24.7,89.9,21.1,-0.0,0.141,-0.4,3.5,30,895,0.5,0,0,0
0.1,10,5.6,0.0309,-0.46,0,0,0,0.5,24.7,89.9,21.1,0.000265,0.224,-0.4,3.5,30,895,0.5,0,0,0
0.15,10,5.7,0.0315,-0.569,0,0,0,0.5,24.6,89.9,21.1,0.0642,0.271,-0.4,3.5,30,895,0.5,0,0,0
0.2,10,5.8,0.0451,-0.561,0,0,0,0.5,24.6,89.9,21.1,0.19,0.278,-0.4,3.5,30,895,0.5,0,0,0
0.25,10,6.0,0.0648,-0.513,0,0,0,0.5,24.5,89.9,21.1,0.349,0.274,-0.4,3.5,30,895,0.5,0,0,0
0.3,10,6.1,0.092,-0.405,0,0,0,0.5,24.4,89.8,21.1,0.538,0.249,-0.4,3.5,30,895,0.5,0,0,0
0.35,10,6.3,0.121,-0.264,0,0,0,0.5,24.4,89.8,21.1,0.715,0.211,-0.4,3.5,30,895,0.5,0,0,0
0.4,10,6.6,0.145,-0.114,0,0,0,0.5,24.3,89.7,21.1,0.844,0.165,-0.4,3.5,30,895,0.5,0,0,0
0.45,10,6.7,0.166,0.0583,0,0,0,0.5,24.2,89.7,21.1,0.916,0.107,-0.4,3.5,30,895,0.5,0,0,0
0.5,10,6.9,0.186,0.165,0,0,0,0.5,24.2,89.7,21.1,0.952,0.076,-0.4,3.5,30,895,0.5,0,0,0
0.55,10,7.1,0.205,0.175,0,0,0,0.5,24.2,89.6,21.1,0.962,0.0848,-0.4,3.5,30,895,0.5,0,0,0
0.6,10,7.3,0.224,0.108,0,0,0,0.5,24.2,89.6,21.1,0.956,0.125,-0.4,3.5,30,895,0.5,0,0,0
0.65,10,7.5,0.243,-0.00697,0,0,0,0.5,24.1,89.6,21.1,0.953,0.187,-0.4,3.5,30,895,0.5,0,0,0
0.7,10,7.7,0.266,-0.0597,0,0,0,0.5,24.1,89.5,21.1,0.964,0.224,-0.4,3.5,30,895,0.5,0,0,0
0.75,10,7.9,0.287,-0.0724,0,0,0,0.5,24.1,89.5,21.1,0.973,0.243,-0.4,3.5,30,895,0.5,0,0,0
0.8,10,8.1,0.304,-0.106,0,0,0,0.5,24.1,89.5,21.1,0.967,0.267,-0.4,3.5,30,895,0.5,0,0,0
0.85,10,8.3,0.317,-0.183,0,0,0,0.5,24.2,89.5,21.1,0.936,0.307,-0.4,3.5,30,895,0.5,0,0,0
0.9,10,8.5,0.329,-0.354,0,0,0,0.5,24.3,89.4,21.1,0.862,0.386,-0.4,3.5,30,895,0.5,0,0,0
0.95,10,8.6,0.349,-0.605,0,0,0,0.5,24.3,89.4,21.1,0.762,0.507,-0.4,3.5,30,895,0.5,0,0,0
1.0,10,8.8,0.391,-0.844,0,0,0,0.5,24.3,89.3,21.1,0.666,0.64,-0.4,3.5,30,895,0.5,0,0,0
1.05,10,8.8,0.454,-0.971,0,0,0,0.5,24.3,89.2,21.1,0.585,0.742,-0.4,3.5,30,895,0.5,0,0,0
1.1,10,8.9,0.53,-0.932,0,0,0,0.5,24.3,89.1,21.1,0.506,0.783,-0.4,3.5,30,895,0.5,0,0,0
1.15,10,9.0,0.613,-0.763,0,0,0,0.5,24.2,88.9,21.1,0.402,0.772,-0.4,3.5,30,895,0.5,0,0,0
1.2,10,9.1,0.696,-0.514,0,0,0,0.5,24.2,88.8,21.1,0.262,0.726,-0.4,3.5,30,895,0.5,0,0,0
