Time,Boat.CrewXPos,Boat.Heel,Boat.Helm,Boat.Leeway,Boat.MassAftBallast,Boat.MassFwdBallast,Boat.MassSideBallast,Boat.RudderDelta,Boat.Speed_kts,Boat.TWA,Boat.TWS_kts,Boat.Trim,Boat.VMG_kts,Boat.Aero.Power,Boat.Aero.Travel,Boat.Keel.KeelCant,Boat.Port.FoilExtPct,Boat.Port.FoilRake,Boat.Stbd.FoilExtPct,Boat.Stbd.FoilRake,Boat.Stbd.RudderRake
0.0,10,5.5,0.0389,0.0,0,0,0,0.5,24.8,89.9,21.1,-0.0,0.0336,-0.4,3.5,30,896,2.5,0,0,0
0.05,10,5.5,0.0397,-0.408,0,0,0,0.5,24.7,89.9,21.1,-0.0,0.209,-0.4,3.5,30,896,2.5,0,0,0
0.1,10,5.5,0.038,-0.687,0,0,0,0.5,24.7,89.9,21.1,0.0232,0.328,-0.4,3.5,30,896,2.5,0,0,0
0.15,10,5.5,0.0454,-0.811,0,0,0,0.5,24.6,89.9,21.1,0.109,0.386,-0.4,3.5,30,896,2.5,0,0,0
0.2,10,5.5,0.0613,-0.804,0,0,0,0.5,24.5,89.9,21.1,0.246,0.396,-0.4,3.5,30,896,2.5,0,0,0
0.25,10,5.6,0.08,-0.748,0,0,0,0.5,24.5,89.8,21.1,0.403,0.386,-0.4,3.5,30,896,2.5,0,0,0
0.3,10,5.6,0.105,-0.647,0,0,0,0.5,24.4,89.8,21.1,0.583,0.362,-0.4,3.5,30,896,2.5,0,0,0
0.35,10,5.7,0.132,-0.519,0,0,0,0.5,24.4,89.7,21.1,0.748,0.328,-0.4,3.5,30,896,2.5,0,0,0
0.4,10,5.8,0.157,-0.382,0,0,0,0.5,24.3,89.7,21.1,0.866,0.288,-0.4,3.5,30,896,2.5,0,0,0
0.45,10,5.9,0.181,-0.224,0,0,0,0.5,24.3,89.7,21.1,0.926,0.238,-0.4,3.5,30,896,2.5,0,0,0
0.5,10,5.9,0.202,-0.117,0,0,0,0.5,24.3,89.6,21.1,0.941,0.207,-0.4,3.5,30,896,2.5,0,0,0
0.55,10,6.0,0.222,-0.0832,0,0,0,0.5,24.2,89.6,21.1,0.92,0.206,-0.4,3.5,30,896,2.5,0,0,0
0.6,10,6.0,0.239,-0.115,0,0,0,0.5,24.2,89.6,21.1,0.874,0.231,-0.4,3.5,30,896,2.5,0,0,0
0.65,10,6.1,0.255,-0.198,0,0,0,0.5,24.2,89.5,21.1,0.816,0.275,-0.4,3.5,30,896,2.5,0,0,0
0.7,10,6.2,0.273,-0.253,0,0,0,0.5,24.2,89.5,21.1,0.758,0.31,-0.4,3.5,30,896,2.5,0,0,0
0.75,10,6.3,0.289,-0.282,0,0,0,0.5,24.2,89.5,21.1,0.687,0.332,-0.4,3.5,30,896,2.5,0,0,0
0.8,10,6.4,0.303,-0.329,0,0,0,0.5,24.3,89.5,21.1,0.585,0.36,-0.4,3.5,30,896,2.5,0,0,0
0.85,10,6.5,0.315,-0.493,0,0,0,0.5,24.4,89.5,21.1,0.442,0.437,-0.4,3.5,30,896,2.5,0,0,0
0.9,10,6.5,0.338,-0.654,0,0,0,0.5,24.4,89.4,21.1,0.28,0.523,-0.4,3.5,30,896,2.5,0,0,0
0.95,10,6.6,0.373,-0.799,0,0,0,0.5,24.5,89.4,21.1,0.101,0.61,-0.4,3.5,30,896,2.5,0,0,0
1.0,10,6.6,0.416,-1.0,0,0,0,0.5,24.5,89.3,21.1,-0.0966,0.731,-0.4,3.5,30,896,2.5,0,0,0
1.05,10,6.6,0.477,-1.17,0,0,0,0.5,24.5,89.2,21.1,-0.274,0.85,-0.4,3.5,30,896,2.5,0,0,0
1.1,10,6.6,0.558,-1.22,0,0,0,0.5,24.5,89.0,21.1,-0.421,0.933,-0.4,3.5,30,896,2.5,0,0,0
1.15,10,6.6,0.652,-1.16,0,0,0,0.5,24.5,88.9,21.1,-0.554,0.982,-0.4,3.5,30,896,2.5,0,0,0
1.2,10,6.6,0.752,-1.02,0,0,0,0.5,24.5,88.7,21.1,-0.685,0.995,-0.4,3.5,30,896,2.5,0,0,0
1.25,10,6.7,0.849,-0.817,0,0,0,0.5,24.5,88.5,21.1,-0.827,0.98,-0.4,3.5,30,896,2.5,0,0,0
1.3,10,6.8,0.931,-0.602,0,0,0,0.5,24.5,88.4,21.1,-0.998,0.945,-0.4,3.5,30,896,2.5,0,0,0
1.35,10,6.9,0.996,-0.423,0,0,0,0.5,24.6,88.3,21.1,-1.19,0.912,-0.4,3.5,30,896,2.5,0,0,0
1.4,10,7.0,1.05,-0.345,0,0,0,0.5,24.6,88.2,21.1,-1.39,0.909,-0.4,3.5,30,896,2.5,0,0,0
1.45,10,7.1,1.09,-0.338,0,0,0,0.5,24.6,88.2,21.1,-1.59,0.93,-0.4,3.5,30,896,2.5,0,0,0
1.5,10,7.1,1.13,-0.419,0,0,0,0.5,24.7,88.1,21.1,-1.78,0.983,-0.4,3.5,30,896,2.5,0,0,0
1.55,10,7.1,1.16,-0.561,0,0,0,0.5,24.7,88.1,21.1,-1.96,1.06,-0.4,3.5,30,896,2.5,0,0,0
1.6,10,7.1,1.19,-0.691,0,0,0,0.5,24.8,88.1,21.1,-2.11,1.13,-0.4,3.5,30,896,2.5,0,0,0
1.65,10,7.1,1.23,-0.73,0,0,0,0.5,24.8,88.1,21.1,-2.25,1.16,-0.4,3.5,30,896,2.5,0,0,0
1.7,10,7.1,1.27,-0.724,0,0,0,0.5,24.9,88.0,21.1,-2.36,1.18,-0.4,3.5,30,896,2.5,0,0,0
1.75,10,7.0,1.31,-0.735,0,0,0,0.5,24.9,88.0,21.1,-2.44,1.21,-0.4,3.5,30,896,2.5,0,0,0
1.8,10,7.0,1.37,-0.689,0,0,0,0.5,24.9,87.9,21.1,-2.45,1.22,-0.4,3.5,30,896,2.5,0,0,0
1.85,10,6.9,1.44,-0.613,0,0,0,0.5,24.9,87.8,21.1,-2.43,1.23,-0.4,3.5,30,896,2.5,0,0,0
1.9,10,6.9,1.51,-0.579,0,0,0,0.5,24.9,87.7,21.1,-2.42,1.25,-0.4,3.5,30,896,2.5,0,0,0
1.95,10,7.0,1.57,-0.629,0,0,0,0.5,24.9,87.6,21.1,-2.39,1.31,-0.4,3.5,30,896,2.5,0,0,0
2.0,10,7.0,1.63,-0.669,0,0,0,0.5,24.9,87.5,21.1,-2.32,1.36,-0.4,3.5,30,896,2.5,0,0,0
2.05,10,7.1,1.69,-0.654,0,0,0,0.5,24.8,87.5,21.1,-2.22,1.38,-0.4,3.5,30,896,2.5,0,0,0
2.1,10,7.1,1.73,-0.689,0,0,0,0.5,24.8,87.4,21.1,-2.12,1.41,-0.4,3.5,30,896,2.5,0,0,0
2.15,10,7.2,1.77,-0.762,0,0,0,0.5,24.8,87.4,21.1,-2.01,1.45,-0.4,3.5,30,896,2.5,0,0,0
2.2,10,7.2,1.8,-0.817,0,0,0,0.5,24.8,87.4,21.1,-1.93,1.48,-0.4,3.5,30,896,2.5,0,0,0
2.25,10,7.3,1.83,-0.944,0,0,0,0.5,24.8,87.4,21.1,-1.87,1.53,-0.4,3.5,30,896,2.5,0,0,0
2.3,10,7.4,1.85,-1.12,0,0,0,0.5,24.8,87.4,21.1,-1.82,1.61,-0.4,3.5,30,896,2.5,0,0,0
2.35,10,7.5,1.89,-1.23,0,0,0,0.5,24.8,87.4,21.1,-1.71,1.66,-0.4,3.5,30,896,2.5,0,0,0
2.4,10,7.5,1.93,-1.2,0,0,0,0.5,24.7,87.4,21.1,-1.56,1.66,-0.4,3.5,30,896,2.5,0,0,0
2.45,10,7.7,1.97,-1.1,0,0,0,0.5,24.6,87.3,21.1,-1.4,1.62,-0.4,3.5,30,896,2.5,0,0,0
2.5,10,7.8,2.01,-0.982,0,0,0,0.5,24.6,87.3,21.1,-1.24,1.58,-0.4,3.5,30,896,2.5,0,0,0
2.55,10,7.9,2.05,-0.837,0,0,0,0.5,24.5,87.3,21.1,-1.07,1.53,-0.4,3.5,30,896,2.5,0,0,0
2.6,10,8.1,2.1,-0.661,0,0,0,0.5,24.5,87.2,21.1,-0.896,1.46,-0.4,3.5,30,896,2.5,0,0,0
2.65,10,8.2,2.13,-0.497,0,0,0,0.5,24.4,87.2,21.1,-0.74,1.39,-0.4,3.5,30,896,2.5,0,0,0
2.7,10,8.4,2.14,-0.319,0,0,0,0.5,24.4,87.3,21.1,-0.589,1.3,-0.4,3.5,30,896,2.5,0,0,0
