Time,Boat.CrewXPos,Boat.Heel,Boat.Helm,Boat.Leeway,Boat.MassAftBallast,Boat.MassFwdBallast,Boat.MassSideBallast,Boat.RudderDelta,Boat.Speed_kts,Boat.TWA,Boat.TWS_kts,Boat.Trim,Boat.VMG_kts,Boat.Aero.Power,Boat.Aero.Travel,Boat.Keel.KeelCant,Boat.Port.FoilExtPct,Boat.Port.FoilRake,Boat.Stbd.FoilExtPct,Boat.Stbd.FoilRake,Boat.Stbd.RudderRake
0.0,10,5.5,0.0389,0.0,0,0,0,0.5,24.8,89.9,21.1,-0.0,0.0336,-0.4,3.5,24,892,2.5,0,0,0
0.05,10,5.5,0.0401,-0.325,0,0,0,0.5,24.7,89.9,21.1,-0.0,0.174,-0.4,3.5,24,892,2.5,0,0,0
0.1,10,5.5,0.0326,-0.574,0,0,0,0.5,24.7,89.9,21.1,0.0195,0.274,-0.4,3.5,24,892,2.5,0,0,0
0.15,10,5.5,0.0327,-0.699,0,0,0,0.5,24.6,89.9,21.1,0.102,0.327,-0.4,3.5,24,892,2.5,0,0,0
0.2,10,5.5,0.0422,-0.698,0,0,0,0.5,24.5,89.9,21.1,0.235,0.334,-0.4,3.5,24,892,2.5,0,0,0
0.25,10,5.6,0.0556,-0.64,0,0,0,0.5,24.5,89.9,21.1,0.391,0.32,-0.4,3.5,24,892,2.5,0,0,0
0.3,10,5.6,0.0753,-0.53,0,0,0,0.5,24.4,89.9,21.1,0.57,0.288,-0.4,3.5,24,892,2.5,0,0,0
0.35,10,5.7,0.0968,-0.394,0,0,0,0.5,24.4,89.8,21.1,0.735,0.246,-0.4,3.5,24,892,2.5,0,0,0
0.4,10,5.8,0.116,-0.252,0,0,0,0.5,24.3,89.8,21.1,0.852,0.199,-0.4,3.5,24,892,2.5,0,0,0
0.45,10,5.8,0.133,-0.0955,0,0,0,0.5,24.3,89.8,21.1,0.912,0.145,-0.4,3.5,24,892,2.5,0,0,0
0.5,10,5.9,0.148,0.00632,0,0,0,0.5,24.3,89.7,21.1,0.929,0.113,-0.4,3.5,24,892,2.5,0,0,0
0.55,10,6.0,0.162,0.036,0,0,0,0.5,24.2,89.7,21.1,0.91,0.109,-0.4,3.5,24,892,2.5,0,0,0
0.6,10,6.0,0.175,0.00413,0,0,0,0.5,24.2,89.7,21.1,0.868,0.131,-0.4,3.5,24,892,2.5,0,0,0
0.65,10,6.1,0.185,-0.0717,0,0,0,0.5,24.2,89.7,21.1,0.817,0.169,-0.4,3.5,24,892,2.5,0,0,0
0.7,10,6.2,0.197,-0.112,0,0,0,0.5,24.2,89.7,21.1,0.769,0.193,-0.4,3.5,24,892,2.5,0,0,0
0.75,10,6.3,0.207,-0.131,0,0,0,0.5,24.2,89.6,21.1,0.711,0.207,-0.4,3.5,24,892,2.5,0,0,0
0.8,10,6.3,0.215,-0.167,0,0,0,0.5,24.3,89.6,21.1,0.626,0.225,-0.4,3.5,24,892,2.5,0,0,0
0.85,10,6.4,0.219,-0.284,0,0,0,0.5,24.3,89.6,21.1,0.503,0.277,-0.4,3.5,24,892,2.5,0,0,0
0.9,10,6.4,0.229,-0.446,0,0,0,0.5,24.4,89.6,21.1,0.342,0.353,-0.4,3.5,24,892,2.5,0,0,0
0.95,10,6.5,0.249,-0.656,0,0,0,0.5,24.5,89.6,21.1,0.153,0.458,-0.4,3.5,24,892,2.5,0,0,0
1.0,10,6.5,0.286,-0.902,0,0,0,0.5,24.5,89.5,21.1,-0.0309,0.592,-0.4,3.5,24,892,2.5,0,0,0
1.05,10,6.4,0.344,-1.07,0,0,0,0.5,24.5,89.4,21.1,-0.177,0.712,-0.4,3.5,24,892,2.5,0,0,0
1.1,10,6.4,0.419,-1.09,0,0,0,0.5,24.5,89.3,21.1,-0.288,0.779,-0.4,3.5,24,892,2.5,0,0,0
1.15,10,6.4,0.505,-0.991,0,0,0,0.5,24.5,89.1,21.1,-0.389,0.803,-0.4,3.5,24,892,2.5,0,0,0
1.2,10,6.4,0.593,-0.812,0,0,0,0.5,24.5,89.0,21.1,-0.499,0.793,-0.4,3.5,24,892,2.5,0,0,0
1.25,10,6.4,0.677,-0.583,0,0,0,0.5,24.4,88.8,21.1,-0.627,0.756,-0.4,3.5,24,892,2.5,0,0,0
1.3,10,6.5,0.746,-0.352,0,0,0,0.5,24.5,88.7,21.1,-0.791,0.706,-0.4,3.5,24,892,2.5,0,0,0
1.35,10,6.6,0.799,-0.164,0,0,0,0.5,24.5,88.6,21.1,-0.976,0.66,-0.4,3.5,24,892,2.5,0,0,0
1.4,10,6.7,0.839,-0.0688,0,0,0,0.5,24.5,88.6,21.1,-1.17,0.642,-0.4,3.5,24,892,2.5,0,0,0
1.45,10,6.7,0.872,-0.0538,0,0,0,0.5,24.5,88.5,21.1,-1.35,0.652,-0.4,3.5,24,892,2.5,0,0,0
1.5,10,6.8,0.897,-0.124,0,0,0,0.5,24.6,88.5,21.1,-1.52,0.692,-0.4,3.5,24,892,2.5,0,0,0
1.55,10,6.8,0.919,-0.258,0,0,0,0.5,24.6,88.5,21.1,-1.68,0.756,-0.4,3.5,24,892,2.5,0,0,0
1.6,10,6.8,0.937,-0.394,0,0,0,0.5,24.6,88.5,21.1,-1.81,0.819,-0.4,3.5,24,892,2.5,0,0,0
1.65,10,6.8,0.958,-0.437,0,0,0,0.5,24.7,88.5,21.1,-1.93,0.844,-0.4,3.5,24,892,2.5,0,0,0
1.7,10,6.8,0.983,-0.451,0,0,0,0.5,24.7,88.5,21.1,-2.03,0.86,-0.4,3.5,24,892,2.5,0,0,0
1.75,10,6.7,1.02,-0.488,0,0,0,0.5,24.8,88.4,21.1,-2.1,0.894,-0.4,3.5,24,892,2.5,0,0,0
1.8,10,6.7,1.07,-0.467,0,0,0,0.5,24.8,88.3,21.1,-2.11,0.916,-0.4,3.5,24,892,2.5,0,0,0
1.85,10,6.6,1.13,-0.413,0,0,0,0.5,24.8,88.3,21.1,-2.09,0.928,-0.4,3.5,24,892,2.5,0,0,0
1.9,10,6.6,1.18,-0.383,0,0,0,0.5,24.8,88.2,21.1,-2.07,0.951,-0.4,3.5,24,892,2.5,0,0,0
1.95,10,6.6,1.24,-0.436,0,0,0,0.5,24.8,88.1,21.1,-2.05,1.0,-0.4,3.5,24,892,2.5,0,0,0
2.0,10,6.6,1.29,-0.523,0,0,0,0.5,24.7,88.0,21.1,-2.0,1.07,-0.4,3.5,24,892,2.5,0,0,0
2.05,10,6.7,1.34,-0.542,0,0,0,0.5,24.7,88.0,21.1,-1.91,1.11,-0.4,3.5,24,892,2.5,0,0,0
2.1,10,6.7,1.39,-0.605,0,0,0,0.5,24.7,87.9,21.1,-1.8,1.15,-0.4,3.5,24,892,2.5,0,0,0
2.15,10,6.8,1.42,-0.666,0,0,0,0.5,24.7,87.9,21.1,-1.69,1.19,-0.4,3.5,24,892,2.5,0,0,0
