Time,Boat.CrewXPos,Boat.Heel,Boat.Helm,Boat.Leeway,Boat.MassAftBallast,Boat.MassFwdBallast,Boat.MassSideBallast,Boat.RudderDelta,Boat.Speed_kts,Boat.TWA,Boat.TWS_kts,Boat.Trim,Boat.VMG_kts,Boat.Aero.Power,Boat.Aero.Travel,Boat.Keel.KeelCant,Boat.Port.FoilExtPct,Boat.Port.FoilRake,Boat.Stbd.FoilExtPct,Boat.Stbd.FoilRake,Boat.Stbd.RudderRake
0.0,10,5.5,0.0389,0.0,0,0,0,0.5,24.8,89.9,21.1,-0.0,0.0336,-0.4,3.5,28,892,1.5,0,0,0
0.05,10,5.5,0.0402,-0.291,0,0,0,0.5,24.7,89.9,21.1,-0.0,0.159,-0.4,3.5,28,892,1.5,0,0,0
0.1,10,5.5,0.0328,-0.517,0,0,0,0.5,24.7,89.9,21.1,0.0115,0.25,-0.4,3.5,28,892,1.5,0,0,0
0.15,10,5.5,0.034,-0.627,0,0,0,0.5,24.6,89.9,21.1,0.0851,0.298,-0.4,3.5,28,892,1.5,0,0,0
0.2,10,5.6,0.0456,-0.621,0,0,0,0.5,24.6,89.9,21.1,0.213,0.304,-0.4,3.5,28,892,1.5,0,0,0
0.25,10,5.7,0.0617,-0.571,0,0,0,0.5,24.5,89.9,21.1,0.368,0.295,-0.4,3.5,28,892,1.5,0,0,0
0.3,10,5.8,0.0846,-0.469,0,0,0,0.5,24.4,89.8,21.1,0.549,0.27,-0.4,3.5,28,892,1.5,0,0,0
0.35,10,6.0,0.109,-0.336,0,0,0,0.5,24.4,89.8,21.1,0.717,0.232,-0.4,3.5,28,892,1.5,0,0,0
0.4,10,6.1,0.131,-0.197,0,0,0,0.5,24.3,89.8,21.1,0.837,0.189,-0.4,3.5,28,892,1.5,0,0,0
0.45,10,6.2,0.15,-0.0348,0,0,0,0.5,24.3,89.7,21.1,0.9,0.134,-0.4,3.5,28,892,1.5,0,0,0
0.5,10,6.3,0.168,0.0752,0,0,0,0.5,24.2,89.7,21.1,0.922,0.0991,-0.4,3.5,28,892,1.5,0,0,0
0.55,10,6.4,0.184,0.102,0,0,0,0.5,24.2,89.7,21.1,0.909,0.0985,-0.4,3.5,28,892,1.5,0,0,0
0.6,10,6.5,0.198,0.0591,0,0,0,0.5,24.2,89.6,21.1,0.876,0.126,-0.4,3.5,28,892,1.5,0,0,0
0.65,10,6.6,0.212,-0.0322,0,0,0,0.5,24.2,89.6,21.1,0.838,0.173,-0.4,3.5,28,892,1.5,0,0,0
0.7,10,6.7,0.229,-0.0757,0,0,0,0.5,24.2,89.6,21.1,0.807,0.202,-0.4,3.5,28,892,1.5,0,0,0
0.75,10,6.9,0.244,-0.0862,0,0,0,0.5,24.2,89.6,21.1,0.769,0.216,-0.4,3.5,28,892,1.5,0,0,0
0.8,10,7.0,0.255,-0.112,0,0,0,0.5,24.2,89.6,21.1,0.709,0.233,-0.4,3.5,28,892,1.5,0,0,0
0.85,10,7.1,0.263,-0.202,0,0,0,0.5,24.3,89.6,21.1,0.615,0.275,-0.4,3.5,28,892,1.5,0,0,0
0.9,10,7.2,0.274,-0.361,0,0,0,0.5,24.4,89.5,21.1,0.478,0.349,-0.4,3.5,28,892,1.5,0,0,0
0.95,10,7.3,0.293,-0.594,0,0,0,0.5,24.4,89.5,21.1,0.313,0.463,-0.4,3.5,28,892,1.5,0,0,0
1.0,10,7.3,0.332,-0.845,0,0,0,0.5,24.5,89.4,21.1,0.159,0.601,-0.4,3.5,28,892,1.5,0,0,0
1.05,10,7.3,0.394,-1.0,0,0,0,0.5,24.5,89.3,21.1,0.0406,0.718,-0.4,3.5,28,892,1.5,0,0,0
