Time,Boat.CrewXPos,Boat.Heel,Boat.Helm,Boat.Leeway,Boat.MassAftBallast,Boat.MassFwdBallast,Boat.MassSideBallast,Boat.RudderDelta,Boat.Speed_kts,Boat.TWA,Boat.TWS_kts,Boat.Trim,Boat.VMG_kts,Boat.Aero.Power,Boat.Aero.Travel,Boat.Keel.KeelCant,Boat.Port.FoilExtPct,Boat.Port.FoilRake,Boat.Stbd.FoilExtPct,Boat.Stbd.FoilRake,Boat.Stbd.RudderRake
0.0,10,5.5,0.0389,0.0,0,0,0,0.5,24.8,89.9,21.1,-0.0,0.0336,-0.4,3.8,30,895,0.5,0,0,0
0.05,10,5.5,0.0404,-0.257,0,0,0,0.5,24.7,89.9,21.1,-0.0,0.144,-0.4,3.8,30,895,0.5,0,0,0
0.1,10,5.5,0.0303,-0.471,0,0,0,0.5,24.7,89.9,21.1,0.00179,0.228,-0.4,3.8,30,895,0.5,0,0,0
0.15,10,5.6,0.0298,-0.583,0,0,0,0.5,24.6,89.9,21.1,0.0675,0.275,-0.4,3.8,30,895,0.5,0,0,0
0.2,10,5.8,0.0421,-0.579,0,0,0,0.5,24.6,89.9,21.1,0.194,0.283,-0.4,3.8,30,895,0.5,0,0,0
0.25,10,5.9,0.0605,-0.533,0,0,0,0.5,24.5,89.9,21.1,0.354,0.279,-0.4,3.8,30,895,0.5,0,0,0
0.3,10,6.1,0.0866,-0.428,0,0,0,0.5,24.4,89.8,21.1,0.543,0.254,-0.4,3.8,30,895,0.5,0,0,0
0.35,10,6.3,0.114,-0.29,0,0,0,0.5,24.4,89.8,21.1,0.719,0.217,-0.4,3.8,30,895,0.5,0,0,0
0.4,10,6.5,0.139,-0.143,0,0,0,0.5,24.3,89.7,21.1,0.847,0.172,-0.4,3.8,30,895,0.5,0,0,0
0.45,10,6.6,0.16,0.0275,0,0,0,0.5,24.2,89.7,21.1,0.917,0.115,-0.4,3.8,30,895,0.5,0,0,0
0.5,10,6.8,0.179,0.133,0,0,0,0.5,24.2,89.7,21.1,0.95,0.0841,-0.4,3.8,30,895,0.5,0,0,0
0.55,10,7.0,0.198,0.141,0,0,0,0.5,24.2,89.6,21.1,0.958,0.0934,-0.4,3.8,30,895,0.5,0,0,0
0.6,10,7.2,0.216,0.0728,0,0,0,0.5,24.1,89.6,21.1,0.95,0.134,-0.4,3.8,30,895,0.5,0,0,0
0.65,10,7.4,0.235,-0.0442,0,0,0,0.5,24.1,89.6,21.1,0.943,0.196,-0.4,3.8,30,895,0.5,0,0,0
0.7,10,7.5,0.257,-0.0993,0,0,0,0.5,24.1,89.5,21.1,0.951,0.234,-0.4,3.8,30,895,0.5,0,0,0
0.75,10,7.7,0.278,-0.115,0,0,0,0.5,24.1,89.5,21.1,0.958,0.255,-0.4,3.8,30,895,0.5,0,0,0
